"Week","a.influenza","acute.bronchitis","body.temperature","braun.thermoscan","break.a.fever","bronchitis","chest.cold","cold.and.flu","cold.or.flu","cold.versus.flu","cold.vs.flu","contagious.flu","cough.fever","cure.flu","cure.the.flu","dangerous.fever","do.i.have.the.flu","ear.thermometer","early.flu.symptoms","expectorant","exposed.to.flu","fever.cough","fever.flu","fever.reducer","fight.the.flu","flu.and.cold","flu.and.fever","flu.care","flu.children","flu.complications","flu.contagious.period","flu.contagious","flu.cough","flu.duration","flu.fever","flu.germs","flu.headache","flu.how.long","flu.in.children","flu.incubation.period","flu.incubation","flu.lasts","flu.length","flu.medicine","flu.or.cold","flu.recovery","flu.relief","flu.remedies","flu.remedy","flu.report","flu.reports","flu.symptoms","flu.test","flu.treatment","flu.treatments","flu.versus.cold","flu.vs.cold","get.over.the.flu","get.rid.of.the.flu","having.the.flu","high.fever","how.long.contagious","how.long.does.flu.last","how.long.does.the.flu.last","how.long.flu","how.long.is.flu.contagious","how.long.is.the.flu.contagious","how.long.is.the.flu","how.to.get.rid.of.the.flu","how.to.treat.flu","how.to.treat.the.flu","human.temperature","i.have.the.flu","incubation.period.for.flu","incubation.period.for.the.flu","influenza.a.and.b","influenza.a","influenza.contagious","influenza.incubation.period","influenza.incubation","influenza.symptoms","influenza.treatment","influenza.type.a","is.flu.contagious","low.body","medicine.for.flu","medicine.for.the.flu","normal.body.temperature","normal.body","oscillococcinum","over.the.counter.flu.medicine","over.the.counter.flu","painful.cough","pneumonia","rapid.flu","reduce.a.fever","reduce.fever","remedies.for.flu","remedies.for.the.flu","respiratory.flu","robitussin","signs.of.flu","signs.of.the.flu","sinus.infections","sinus","strep.throat","strep","symptoms.of.bronchitis","symptoms.of.flu","symptoms.of.influenza","symptoms.of.pneumonia","symptoms.of.the.flu","taking.temperature","tessalon","the.flu.virus","the.flu","thermoscan","treat.flu","treat.the.flu","treating.flu","treating.the.flu","treatment.for.flu","treatment.for.the.flu","tussin","tussionex","type.a.influenza","upper.respiratory","walking.pneumonia","what.to.do.if.you.have.the.flu"
"2006-10-14",6,20,54,44,7,26,20,14,10,22,6,1,15,1,3,25,4,32,4,32,0,15,7,8,12,14,8,10,6,7,5,1,9,4,7,14,14,2,4,1,1,18,6,9,10,11,20,8,13,2,2,1,2,4,5,22,6,13,6,12,24,4,2,2,2,2,2,2,7,4,8,53,3,2,0,10,6,5,7,6,7,13,6,1,55,16,28,30,41,10,11,10,36,40,6,12,13,12,11,8,32,1,3,25,50,41,49,16,1,5,18,2,25,19,2,3,29,5,8,8,15,5,12,28,31,6,30,35,17
"2006-10-21",4,19,47,48,7,25,20,12,10,14,6,3,7,1,5,8,4,42,10,29,7,7,7,11,8,12,6,14,9,6,5,3,8,8,7,32,12,2,4,1,1,18,6,7,10,12,26,8,9,3,4,1,1,3,8,14,6,17,6,6,26,3,2,3,2,2,2,2,7,8,8,37,4,2,0,19,4,4,7,6,7,24,6,1,49,6,9,31,43,16,10,7,18,41,12,12,14,9,11,4,31,3,6,30,48,46,53,16,1,11,12,3,26,33,5,3,26,3,11,6,15,5,20,49,32,6,27,34,17
"2006-10-28",6,22,53,29,7,26,18,14,13,28,11,2,7,3,7,14,4,45,4,44,0,7,11,11,8,14,10,15,14,8,7,2,6,8,11,14,14,2,3,1,1,18,12,16,12,8,19,11,19,5,5,2,4,5,10,29,11,8,6,8,35,4,3,1,2,2,2,2,7,4,8,39,4,2,7,9,6,4,7,6,14,21,6,1,48,4,9,27,40,10,10,5,17,44,6,24,16,6,11,4,27,1,3,24,52,44,50,21,1,14,14,2,17,24,3,3,31,7,6,9,15,5,12,28,33,6,27,45,17
"2006-11-04",5,21,50,29,13,27,24,18,6,14,7,2,13,2,5,14,7,27,9,41,0,14,10,6,12,18,9,13,10,6,8,2,8,8,10,18,15,3,5,1,1,18,8,13,6,7,25,8,11,4,3,2,1,5,16,14,7,10,6,6,22,3,2,2,3,2,2,5,7,5,8,55,4,1,8,9,5,4,7,6,7,13,8,2,54,12,9,31,36,21,10,5,18,44,6,12,6,7,11,6,34,2,5,27,53,48,54,20,1,9,16,2,31,30,2,3,33,5,6,12,15,4,36,50,42,8,27,36,17
"2006-11-11",5,29,45,42,7,31,23,14,16,14,8,2,13,2,7,23,7,36,13,22,0,13,9,11,8,14,8,12,10,14,10,2,10,11,9,26,6,3,6,1,1,18,14,10,16,7,33,9,20,3,3,2,3,4,10,14,8,12,6,6,27,5,1,3,3,4,2,4,8,4,9,56,8,1,9,9,5,4,7,8,12,23,9,3,55,11,13,30,46,21,10,9,17,44,14,17,10,4,20,4,28,2,5,34,53,50,53,33,1,18,15,3,32,35,4,3,25,7,11,6,17,4,17,35,36,9,31,41,32
"2006-11-18",5,26,46,32,10,30,24,17,10,18,13,3,11,2,4,23,4,30,10,44,0,11,10,22,15,17,7,12,12,18,11,3,9,4,10,9,12,3,6,2,1,53,6,12,10,15,24,10,23,4,4,2,2,4,13,19,13,9,6,11,31,4,3,3,3,2,2,3,8,4,11,56,4,4,10,9,5,6,14,11,13,20,11,2,51,8,10,30,41,17,10,9,17,46,8,17,14,8,10,6,31,2,5,27,53,53,57,22,1,13,17,3,36,25,4,4,30,4,5,19,19,4,17,44,53,11,39,50,18
"2006-11-25",3,39,44,37,16,29,29,15,14,16,10,4,14,1,5,9,4,35,5,33,0,15,6,9,27,15,4,4,7,16,12,4,12,6,6,20,13,3,3,2,3,25,9,10,14,17,14,9,13,3,2,2,1,5,9,16,10,9,6,7,26,5,2,3,3,2,2,2,8,13,8,41,5,3,10,10,3,7,16,10,10,23,13,1,51,6,10,30,29,24,10,5,16,38,9,27,16,7,12,4,28,2,6,27,52,44,50,20,1,10,16,2,29,19,3,2,52,8,10,7,26,6,27,29,56,13,24,31,18
"2006-12-02",6,22,50,31,11,38,29,23,15,40,8,5,9,3,6,7,3,36,6,40,12,9,7,7,7,23,16,10,7,8,5,5,10,16,7,12,11,4,4,2,2,25,6,10,15,12,47,17,9,3,2,2,1,7,7,40,8,8,11,7,30,5,2,3,4,2,2,3,7,8,7,57,4,3,11,17,6,8,17,10,6,17,11,3,46,9,12,34,49,14,10,9,16,47,17,11,14,11,13,8,34,3,7,33,55,50,55,19,2,17,22,4,30,36,7,3,33,5,5,19,32,7,18,38,51,11,33,46,15
"2006-12-09",7,38,46,44,8,31,29,18,14,40,6,4,15,2,3,17,7,36,6,38,6,15,7,15,10,18,6,7,5,8,5,4,6,14,7,21,15,3,2,1,1,42,8,8,14,12,35,16,19,3,3,2,3,7,10,40,6,8,5,5,31,5,2,3,3,1,2,3,10,8,14,63,5,1,7,9,7,4,10,10,10,25,5,2,50,7,8,30,38,19,10,7,22,44,19,15,13,12,24,5,37,4,6,27,54,52,57,24,2,16,21,4,28,31,5,3,35,9,10,24,28,8,18,51,43,5,26,47,0
"2006-12-16",6,37,48,18,7,33,24,20,16,13,9,5,16,3,3,15,5,48,8,39,6,16,8,13,12,20,13,6,7,8,5,5,9,8,8,13,12,4,4,1,1,34,11,7,16,7,32,14,19,7,4,2,1,6,12,13,9,10,5,9,34,6,4,6,4,2,3,4,7,7,14,59,3,4,7,9,6,4,7,11,11,22,11,4,45,7,13,35,46,19,20,11,16,44,6,40,13,14,10,9,31,3,2,33,57,50,57,25,2,16,16,4,16,35,5,3,43,13,21,13,19,6,22,55,61,11,30,48,0
"2006-12-23",5,23,49,39,11,34,25,19,20,15,13,5,22,2,6,29,6,58,9,51,7,22,10,25,8,19,8,5,7,13,10,5,8,8,10,12,14,4,6,3,3,19,7,12,20,13,44,19,23,4,3,2,2,7,13,15,13,13,8,9,38,9,4,1,4,6,6,4,8,11,13,51,4,2,8,10,5,5,10,20,11,21,8,3,64,12,28,34,35,29,23,14,19,41,6,25,23,16,32,12,43,4,10,29,54,57,61,28,2,10,15,4,43,31,5,3,32,12,19,21,26,8,25,63,56,8,24,35,0
"2006-12-30",6,33,41,47,9,39,32,22,17,18,9,11,12,3,8,20,13,46,7,66,8,12,11,7,10,22,7,4,5,5,15,11,12,20,11,28,15,5,3,3,4,22,7,14,17,16,31,27,37,7,2,3,2,10,22,18,9,14,18,15,36,9,5,2,5,5,4,8,18,13,28,42,5,2,9,9,6,22,18,7,12,26,12,8,58,11,11,21,35,19,14,11,22,52,10,30,21,9,13,6,48,3,5,37,62,56,61,22,2,15,24,3,35,33,5,3,70,16,18,26,28,9,15,51,55,12,30,56,0
"2007-01-06",7,37,49,53,10,43,39,24,21,36,12,6,15,4,4,16,4,44,6,40,6,15,10,23,12,24,10,6,6,8,5,6,13,10,10,18,14,4,4,1,3,18,9,13,21,12,38,26,32,5,2,2,2,8,8,36,12,14,14,12,34,8,4,5,4,4,4,3,13,7,11,60,7,2,18,9,7,7,8,12,13,16,12,5,61,11,14,31,47,28,22,16,18,59,19,12,20,16,43,5,49,6,10,40,67,58,63,32,2,16,20,3,24,36,5,3,49,7,11,26,38,9,12,49,69,12,43,98,0
"2007-01-13",7,41,50,30,8,38,30,21,10,19,8,4,12,3,5,18,4,22,8,50,6,12,13,15,7,21,11,8,4,4,5,4,13,12,13,16,12,3,5,1,1,25,5,7,10,7,38,20,27,6,4,2,1,7,16,19,8,8,8,9,32,5,4,4,3,2,2,7,13,9,13,47,3,2,27,17,7,4,7,5,12,35,18,2,64,8,8,38,47,33,10,6,31,49,8,14,20,17,19,8,41,3,5,34,61,54,59,26,1,11,20,4,20,25,5,3,41,7,7,16,34,5,16,50,72,18,25,64,15
"2007-01-20",7,27,51,35,10,33,30,14,14,13,8,4,17,1,2,22,5,32,9,28,6,17,8,15,17,14,6,7,4,8,9,4,11,14,8,16,14,3,2,3,2,16,9,7,14,14,17,16,20,4,2,2,1,6,8,13,8,11,7,8,28,6,3,2,3,4,5,3,7,4,7,51,4,3,10,16,7,8,7,15,7,25,11,3,60,4,8,33,38,24,10,6,32,46,5,29,17,10,18,5,39,4,7,32,57,51,59,25,1,15,20,3,49,39,3,3,58,5,5,16,18,5,16,36,50,11,25,50,15
"2007-01-27",9,39,59,46,13,34,26,18,13,13,16,5,13,3,6,12,4,60,12,46,6,13,9,15,7,18,14,5,6,11,9,5,7,16,9,16,12,5,5,3,2,16,14,9,13,20,15,20,26,4,2,2,3,6,12,13,16,7,5,10,48,7,4,4,5,2,2,5,6,9,11,65,4,1,11,16,9,4,15,13,15,18,10,3,78,5,10,40,52,35,10,8,15,50,16,21,15,9,18,14,36,4,7,37,61,62,65,20,2,9,17,3,32,35,5,3,56,9,6,18,39,6,10,38,47,10,32,59,14
"2007-02-03",14,31,58,58,7,36,23,23,14,37,11,7,21,2,5,30,3,57,6,57,6,21,15,14,14,23,17,5,5,8,22,7,14,11,15,15,10,4,5,2,2,15,5,13,14,17,29,18,24,6,5,2,2,7,11,37,11,11,10,13,51,7,6,3,4,4,3,4,11,11,6,57,4,2,13,13,14,10,17,11,20,36,38,5,77,17,13,39,49,30,9,8,35,53,5,21,21,11,9,13,38,3,5,42,62,60,67,34,2,11,25,4,52,35,4,3,57,6,5,29,21,3,50,36,53,38,31,55,14
"2007-02-10",17,38,60,41,21,38,33,22,13,33,9,6,18,4,4,25,3,49,7,58,14,18,12,19,7,22,11,6,7,5,6,6,13,20,12,10,15,7,5,3,3,15,5,15,13,20,32,18,21,7,5,2,2,9,25,33,9,14,7,10,46,9,7,5,7,5,7,5,10,9,13,60,3,3,12,8,17,8,13,19,19,31,31,4,66,14,18,38,42,22,19,8,22,53,10,21,24,9,9,14,32,5,9,39,61,66,73,39,2,20,26,4,46,34,3,3,48,11,9,27,42,6,17,53,49,31,40,61,14
"2007-02-17",19,26,57,20,12,40,35,19,13,25,8,9,17,3,5,14,3,49,12,52,6,17,12,19,7,19,12,5,9,11,9,9,16,21,12,11,11,6,7,2,3,23,17,14,13,17,43,20,35,8,4,3,3,9,9,24,8,7,13,10,47,8,5,5,6,3,5,5,22,8,11,77,5,2,6,12,19,14,22,16,26,31,41,4,66,14,15,38,50,27,9,5,22,50,5,48,29,12,13,9,38,4,4,34,60,63,67,35,2,19,23,3,56,36,5,3,48,7,9,24,47,8,10,54,52,41,47,50,14
"2007-02-24",16,19,62,25,9,39,33,18,15,25,9,6,15,3,6,40,3,31,7,40,6,15,15,16,10,18,22,5,10,8,9,6,15,18,15,20,16,7,8,2,3,24,11,14,15,11,37,24,37,8,3,3,2,8,11,25,9,12,12,16,45,6,8,6,7,2,4,3,6,8,10,70,3,3,6,22,16,5,11,18,20,36,30,5,73,7,11,52,57,30,14,16,20,51,12,35,40,15,12,9,36,4,10,40,64,64,70,29,2,16,31,4,30,37,4,3,58,9,10,14,22,4,10,38,67,30,37,53,14
"2007-03-03",10,33,61,12,13,38,27,17,16,12,10,6,22,5,7,23,6,36,7,48,11,22,17,28,17,17,24,4,5,10,6,6,13,30,17,13,12,5,5,1,2,23,13,10,16,11,32,18,28,4,2,2,3,7,23,12,10,14,6,17,53,6,6,6,5,3,2,3,6,13,17,58,2,2,6,23,10,9,16,16,21,35,19,3,68,8,11,40,61,22,9,4,22,54,10,40,31,13,18,8,32,3,5,36,61,60,68,22,2,28,21,4,24,37,4,3,38,14,15,18,42,9,35,55,62,19,31,49,14
"2007-03-10",12,33,54,20,11,41,27,16,9,24,12,5,12,3,5,18,5,38,4,48,6,12,13,23,7,16,16,3,5,5,6,5,14,18,13,8,13,5,4,2,2,15,5,7,9,6,39,13,23,3,1,2,1,5,16,24,12,7,13,8,47,8,4,6,5,3,6,6,9,5,13,52,4,2,6,15,12,9,9,12,12,33,18,3,67,7,15,37,54,19,9,8,25,50,10,17,23,11,13,8,35,2,3,36,64,59,65,25,2,10,25,3,31,30,3,3,48,11,21,17,21,5,25,38,48,18,33,55,14
"2007-03-17",12,49,50,25,11,38,29,12,7,12,6,4,17,3,2,19,5,36,4,45,6,17,12,18,7,12,10,2,4,7,4,4,11,16,12,16,9,4,4,1,2,26,16,9,7,13,18,13,22,3,3,2,2,5,8,12,6,7,5,5,49,7,4,4,4,2,3,4,13,5,13,67,3,2,6,8,12,9,15,7,18,22,28,3,67,6,8,41,43,13,9,4,30,46,5,21,29,14,27,7,32,3,5,26,57,57,61,32,1,13,23,3,47,45,6,2,37,5,10,16,26,5,10,34,53,28,31,47,14
"2007-03-24",8,30,48,58,8,34,25,10,13,25,6,4,15,2,4,26,6,38,4,32,6,16,11,21,7,10,13,4,4,5,9,4,8,12,11,8,8,4,4,2,2,32,9,9,13,13,65,16,15,4,3,1,1,6,7,25,6,7,15,7,46,5,4,4,4,3,2,5,13,8,15,54,5,2,8,8,8,6,10,7,10,25,20,1,49,6,15,35,47,9,9,4,23,44,18,17,14,10,9,14,32,3,5,38,58,59,68,22,1,9,17,1,34,37,3,2,51,8,13,21,13,3,15,28,57,20,29,39,14
"2007-03-31",9,32,48,49,10,33,15,11,8,12,6,4,16,1,2,30,3,49,4,30,6,16,11,16,7,11,6,3,5,5,7,4,7,13,11,19,10,3,4,2,1,16,7,6,8,7,32,14,16,3,3,1,1,4,9,12,6,7,8,10,37,5,3,4,3,3,3,3,13,10,6,50,4,1,6,8,9,6,6,5,8,10,10,2,56,5,23,34,43,9,9,4,20,42,5,15,11,16,18,3,27,2,3,29,56,58,63,30,1,12,18,2,30,28,2,2,39,7,12,5,17,4,25,31,57,10,33,36,14
"2007-04-07",6,25,47,21,6,29,19,5,9,12,7,3,14,2,2,16,3,37,6,28,5,14,9,16,9,5,10,3,2,6,4,3,8,6,9,12,9,2,2,1,0,16,11,4,9,7,22,10,11,4,3,1,1,4,5,12,7,11,5,10,37,5,2,2,2,3,4,3,6,5,13,40,2,1,6,8,6,6,6,8,8,11,7,3,57,7,8,33,48,6,9,5,30,37,5,21,13,11,36,3,31,2,2,32,55,50,55,19,1,8,14,1,22,27,1,1,33,5,10,8,13,3,10,39,37,7,34,37,0
"2007-04-14",6,26,51,16,10,29,26,7,4,24,4,2,15,2,5,14,3,26,5,25,5,15,5,11,11,7,7,1,2,3,4,2,4,5,5,8,10,2,3,2,1,15,15,5,4,6,14,9,7,1,3,1,1,4,9,24,4,7,5,5,39,5,2,2,2,4,4,3,6,7,6,50,3,1,6,10,6,4,12,9,8,15,10,2,64,3,8,37,45,16,18,12,20,41,5,20,19,5,9,7,22,2,4,35,56,53,59,17,1,12,15,2,16,28,5,1,28,4,14,8,12,8,15,22,38,10,26,31,0
"2007-04-21",5,27,44,43,7,27,20,6,3,11,2,1,8,3,4,20,9,32,4,34,5,8,6,11,13,6,6,2,1,3,4,1,4,13,6,15,7,1,1,1,1,15,7,5,3,6,17,11,14,1,3,1,1,3,9,11,2,7,5,10,31,4,1,2,1,1,3,2,6,3,6,46,3,2,8,11,5,4,8,11,6,25,5,2,53,5,7,31,45,10,9,4,19,38,5,13,12,5,9,9,28,2,4,29,50,54,58,16,1,5,14,1,25,21,3,1,33,4,5,22,37,2,19,27,33,5,18,30,0
"2007-04-28",5,17,44,16,9,26,13,6,7,11,4,2,13,1,3,29,3,32,4,20,5,13,5,15,13,6,5,3,2,3,4,2,6,5,5,7,7,2,1,1,1,30,5,2,7,6,26,6,15,2,1,1,1,3,4,11,4,7,5,6,31,5,1,2,2,3,2,5,12,7,6,53,2,4,9,11,5,4,6,5,6,21,14,2,47,3,7,25,37,7,9,4,28,36,5,25,16,5,9,6,21,1,4,26,53,50,58,10,1,10,15,1,19,28,3,1,33,5,9,10,16,3,16,31,42,14,26,27,0
"2007-05-05",4,35,47,39,12,24,16,5,7,11,4,2,9,2,2,22,4,27,4,18,5,9,3,6,6,5,5,2,1,3,4,2,2,7,3,7,7,1,1,1,0,15,5,3,7,9,15,5,6,2,1,1,1,3,6,11,4,7,5,5,31,2,1,2,1,1,2,3,10,6,12,54,2,1,6,8,4,4,6,5,4,21,5,2,45,3,7,28,46,6,9,4,21,35,7,15,12,5,8,3,18,1,2,28,51,50,57,18,0,15,12,1,23,15,2,1,31,3,18,7,12,2,10,27,34,5,22,32,0
"2007-05-12",4,20,43,22,3,23,19,5,5,11,3,2,9,1,2,19,6,29,5,28,5,9,6,9,6,5,6,3,1,3,5,2,2,5,6,7,3,1,1,0,0,14,5,3,5,9,15,2,12,1,1,1,1,3,6,11,3,7,9,7,37,4,1,1,1,2,2,3,10,3,6,51,2,1,6,7,4,3,6,9,5,24,8,2,45,3,7,31,40,5,9,4,18,32,5,9,4,5,8,3,20,1,2,28,50,50,57,17,1,7,13,1,15,24,3,1,22,4,4,9,12,5,19,30,26,8,26,28,13
"2007-05-19",4,20,43,19,8,21,16,4,5,11,4,1,10,1,4,15,3,39,5,21,5,10,5,12,6,4,3,2,1,3,5,1,3,3,5,7,3,0,1,1,0,0,5,5,5,9,10,5,9,2,2,1,1,2,7,11,4,7,4,9,31,5,1,1,0,1,2,1,6,3,15,43,2,1,6,7,4,0,6,7,7,6,5,2,50,4,7,27,45,5,9,4,14,29,6,9,7,6,8,3,20,2,2,24,50,48,56,7,1,9,9,1,24,12,2,1,24,4,6,7,12,2,9,24,34,5,29,28,13
"2007-05-26",2,14,40,19,5,22,13,6,5,11,2,2,11,1,4,9,4,24,5,23,5,11,4,15,6,6,5,2,1,3,6,2,6,3,4,14,10,1,1,1,1,0,5,2,5,18,10,4,7,1,3,1,1,1,8,11,2,7,6,5,32,3,1,1,1,1,2,1,6,9,24,42,4,1,6,7,2,0,6,4,2,6,5,1,49,9,7,20,34,4,9,4,21,29,5,14,17,8,12,5,21,1,2,27,61,44,53,13,0,11,13,1,26,18,2,1,30,5,13,9,12,2,9,35,40,5,24,22,13
"2007-06-02",2,20,37,12,6,21,15,4,4,11,4,1,9,2,2,10,3,18,6,27,6,9,4,14,0,4,7,2,1,3,4,1,4,3,4,7,6,1,1,0,1,0,5,3,4,10,11,7,8,2,3,1,1,2,9,11,4,7,5,10,29,4,2,1,1,1,2,1,6,3,6,25,2,1,6,7,2,0,6,7,3,7,5,1,51,4,7,28,37,4,9,4,31,29,5,15,10,5,9,3,19,1,2,26,52,46,54,12,1,8,8,1,31,32,2,1,17,2,5,5,13,2,9,31,29,5,25,25,0
"2007-06-09",2,12,46,11,5,20,16,4,3,11,3,0,9,1,3,17,3,33,3,28,5,9,4,16,0,4,8,1,1,3,4,0,2,5,4,7,6,1,1,1,1,0,5,3,3,6,15,7,4,2,1,1,1,2,4,11,3,7,5,5,35,4,1,2,1,1,2,1,6,3,6,41,2,1,6,8,2,0,6,9,5,9,5,1,49,3,7,21,38,5,9,4,41,28,5,19,15,6,8,3,18,1,3,26,49,42,48,9,1,4,8,1,19,18,2,1,20,4,4,14,12,2,9,33,32,5,22,26,0
"2007-06-16",2,13,41,23,9,18,12,4,5,11,5,1,7,1,3,9,3,20,4,24,5,7,5,14,0,4,3,3,1,3,4,1,2,3,5,7,5,1,1,1,0,0,5,1,5,6,10,6,5,1,1,1,1,1,9,11,5,7,9,5,34,4,1,1,1,1,2,2,12,3,6,44,2,1,0,8,2,0,6,9,2,11,6,1,56,3,7,25,37,5,9,4,14,27,5,10,10,4,9,6,16,1,3,23,46,40,49,10,1,4,9,1,21,12,2,1,21,4,5,5,12,3,10,32,28,6,26,25,0
"2007-06-23",2,17,37,12,9,18,12,4,5,11,2,1,8,1,3,17,3,23,4,10,5,8,5,14,0,4,6,2,1,4,0,1,8,3,5,8,8,1,2,0,0,0,5,3,5,13,11,2,10,1,1,1,1,2,4,11,2,7,10,5,31,5,2,1,1,1,2,2,6,6,8,38,2,1,0,8,2,4,6,10,3,13,7,1,39,3,8,22,35,8,9,4,14,26,5,20,14,6,9,3,16,1,2,23,47,37,44,18,0,4,10,1,37,16,2,1,9,3,9,5,13,3,10,26,24,7,20,21,0
"2007-06-30",2,8,39,15,3,17,10,2,3,11,2,1,6,1,3,19,3,33,3,26,5,6,4,18,0,2,3,3,1,3,0,1,4,7,4,8,4,1,1,0,0,0,5,3,3,12,10,4,7,1,1,0,1,2,4,11,2,0,5,5,36,5,1,1,1,1,0,1,6,3,6,33,2,1,0,8,2,4,6,5,2,15,8,2,46,6,7,18,36,5,0,6,14,24,10,14,9,7,8,3,15,1,2,21,43,34,41,12,0,4,8,1,21,19,2,1,26,2,6,5,12,2,9,30,33,8,18,22,0
"2007-07-07",2,15,35,16,5,16,15,4,4,12,2,1,6,1,2,9,3,23,4,16,0,6,3,14,0,4,5,3,1,7,0,1,2,4,3,8,4,1,2,0,0,16,5,2,4,13,10,3,7,1,1,0,1,1,5,12,2,0,5,5,38,4,1,1,1,1,0,1,6,3,6,26,2,1,0,8,2,4,6,5,1,7,8,1,44,3,7,18,32,9,0,8,15,25,5,17,11,7,8,3,16,1,2,17,40,36,43,18,0,4,8,1,30,22,1,1,20,2,6,5,12,3,10,25,25,8,19,22,0
"2007-07-14",2,15,36,15,8,16,9,4,2,11,2,1,8,1,4,10,3,23,5,16,0,8,5,12,0,4,7,2,1,3,0,1,5,6,5,7,3,1,1,0,0,22,5,6,2,6,10,3,11,1,1,1,1,2,5,11,2,0,5,9,32,3,2,1,1,1,0,1,6,3,7,34,2,1,0,0,2,4,6,4,2,18,9,1,48,3,7,24,43,4,0,4,21,25,5,19,9,7,8,15,13,1,2,20,42,35,43,8,1,4,9,1,24,22,2,1,22,2,6,5,12,4,9,24,31,9,25,21,0
"2007-07-21",3,21,42,26,6,16,14,4,3,11,2,1,5,1,2,8,4,26,9,22,0,5,7,10,0,4,6,1,1,3,0,1,3,3,7,7,9,0,1,0,0,14,5,2,3,8,10,2,4,1,1,1,1,2,4,11,2,0,7,5,33,3,1,1,0,1,0,1,9,3,7,34,2,1,6,0,3,4,6,9,2,10,5,2,47,3,7,27,34,5,0,4,21,24,5,19,9,3,8,6,18,1,3,23,46,34,43,12,1,4,8,1,22,18,1,1,20,2,6,5,12,4,9,19,22,5,18,23,0
"2007-07-28",1,15,38,26,7,15,9,3,7,11,2,1,8,1,2,6,5,21,3,28,0,8,4,11,0,3,6,2,1,3,0,1,4,3,4,7,8,1,1,1,0,14,5,4,7,9,10,4,4,2,1,1,1,1,7,11,2,0,4,5,30,4,1,1,1,1,0,1,6,6,8,34,3,1,6,0,1,3,6,4,2,12,9,1,41,5,7,24,33,9,0,4,27,25,5,31,16,5,8,6,14,2,2,25,44,29,41,9,0,4,7,1,34,18,2,0,30,5,6,5,12,2,9,26,25,9,22,19,0
"2007-08-04",2,7,39,15,8,15,11,5,2,11,2,1,8,1,2,15,6,26,3,26,0,8,4,22,0,5,7,1,1,6,4,1,4,3,4,7,6,1,1,0,1,14,5,3,2,10,10,5,7,1,2,0,1,1,10,11,2,0,4,9,35,4,1,1,1,1,0,1,6,3,6,44,3,1,0,0,2,3,6,4,2,12,4,1,50,5,7,22,36,7,9,4,14,24,5,9,8,4,8,3,14,1,2,20,41,31,39,11,1,4,7,0,17,22,2,1,30,2,4,6,11,2,9,23,25,4,22,21,13
"2007-08-11",2,11,39,18,8,15,13,4,3,11,2,1,8,1,5,27,3,24,3,22,5,8,4,15,12,4,6,3,0,6,4,1,3,5,4,7,4,1,1,0,1,14,5,3,3,12,10,3,4,1,3,0,1,2,4,11,2,6,4,5,31,4,1,1,1,1,0,1,6,3,6,37,2,1,0,0,2,3,6,4,2,9,4,1,41,5,7,28,34,7,8,4,13,25,5,37,15,4,8,3,15,1,3,17,41,31,37,8,0,4,6,1,28,19,1,1,29,2,6,6,11,2,9,21,28,4,21,22,0
"2007-08-18",2,22,34,15,7,16,12,4,2,11,2,1,9,1,4,17,3,35,7,19,5,9,4,7,6,4,5,2,1,3,4,1,3,3,4,7,5,1,1,0,0,14,5,2,2,6,15,5,9,2,1,0,1,2,4,11,2,6,4,6,34,5,2,1,1,1,0,1,6,3,6,35,3,1,0,7,2,3,6,4,1,6,4,1,45,6,7,23,33,7,8,7,13,24,9,15,12,3,8,4,18,1,3,20,43,29,35,8,1,4,6,1,32,21,1,1,26,2,8,7,11,2,9,35,23,4,17,24,0
"2007-08-25",2,13,41,22,10,17,9,5,4,11,3,1,10,1,4,9,3,17,5,24,5,10,5,7,6,5,6,1,1,3,4,1,2,5,5,7,6,1,1,0,0,14,5,3,4,6,10,3,8,1,1,1,1,2,4,11,3,6,4,8,27,5,1,1,1,1,2,1,6,3,6,37,2,1,0,7,2,5,6,4,2,6,4,1,43,3,7,29,41,8,8,7,13,26,9,18,7,3,8,4,15,1,2,22,44,32,39,8,0,3,6,0,26,17,2,1,42,3,4,6,17,3,9,30,28,4,24,23,0
"2007-09-01",3,16,43,43,10,20,17,6,3,11,3,1,8,1,4,12,3,25,7,26,5,8,4,10,6,6,10,1,1,3,4,1,2,5,4,7,9,1,1,0,0,14,14,2,3,6,10,3,4,2,1,1,1,2,4,11,3,6,4,9,30,4,1,1,1,1,2,1,6,3,8,41,3,1,0,7,3,6,5,4,3,15,4,1,46,3,7,27,43,6,8,7,13,28,5,9,11,5,12,7,19,1,3,25,46,32,40,11,0,4,10,1,38,20,2,1,27,3,13,14,11,4,9,43,35,4,25,23,0
"2007-09-08",3,21,46,7,7,22,27,9,6,11,4,1,7,2,2,8,3,27,3,29,5,7,4,11,6,9,5,3,1,3,4,1,4,5,4,7,8,1,1,0,0,14,14,4,6,6,10,3,13,1,2,1,1,2,4,11,4,6,4,9,31,4,1,1,1,1,2,1,6,3,5,44,2,1,0,8,3,7,5,4,3,9,4,1,41,3,7,33,43,8,8,4,12,28,5,9,13,5,16,9,22,1,2,24,48,34,40,14,1,7,9,1,43,19,2,1,16,3,7,6,12,2,9,27,38,4,28,30,0
